num_mes,anio,mes,departamento,salario,cant_salario,cod_dpto
1,2015,Ene,Risaralda,>$15.000.001,0,20
1,2015,Ene,Risaralda,A convenir,147,20
1,2015,Ene,Risaralda,No especifica Salario,24,20
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",Salario Mínimo,3,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",Salario Mínimo 0 $1.000.000,9,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$1.000.001 0 $1.500.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$1.500.001 0 $2.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$2.000.001 0 $3.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$3.000.001 0 $4.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$4.000.001 0 $6.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$6.000.001 0 $8.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$8.000.001 0 $10.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$10.000.0010$12.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",$12.000.0010$15.000.000,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",>$15.000.001,0,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",A convenir,1,28
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",No especifica Salario,1,28
1,2015,Ene,Santander,Salario Mínimo,49,21
1,2015,Ene,Santander,Salario Mínimo 0 $1.000.000,443,21
1,2015,Ene,Santander,$1.000.001 0 $1.500.000,235,21
1,2015,Ene,Santander,$1.500.001 0 $2.000.000,78,21
1,2015,Ene,Santander,$2.000.001 0 $3.000.000,112,21
1,2015,Ene,Santander,$3.000.001 0 $4.000.000,41,21
1,2015,Ene,Santander,$4.000.001 0 $6.000.000,31,21
1,2015,Ene,Santander,$6.000.001 0 $8.000.000,6,21
1,2015,Ene,Santander,$8.000.001 0 $10.000.000,4,21
1,2015,Ene,Santander,$10.000.0010$12.000.000,1,21
1,2015,Ene,Santander,$12.000.0010$15.000.000,0,21
1,2015,Ene,Santander,>$15.000.001,0,21
1,2015,Ene,Santander,A convenir,269,21
1,2015,Ene,Santander,No especifica Salario,57,21
1,2015,Ene,Sucre,Salario Mínimo,1,22
1,2015,Ene,Sucre,Salario Mínimo 0 $1.000.000,30,22
1,2015,Ene,Sucre,$1.000.001 0 $1.500.000,21,22
1,2015,Ene,Sucre,$1.500.001 0 $2.000.000,6,22
1,2015,Ene,Sucre,$2.000.001 0 $3.000.000,11,22
1,2015,Ene,Sucre,$3.000.001 0 $4.000.000,6,22
1,2015,Ene,Sucre,$4.000.001 0 $6.000.000,0,22
1,2015,Ene,Sucre,$6.000.001 0 $8.000.000,1,22
1,2015,Ene,Sucre,$8.000.001 0 $10.000.000,1,22
1,2015,Ene,Sucre,$10.000.0010$12.000.000,1,22
1,2015,Ene,Sucre,$12.000.0010$15.000.000,1,22
1,2015,Ene,Sucre,>$15.000.001,0,22
1,2015,Ene,Sucre,A convenir,8,22
1,2015,Ene,Sucre,No especifica Salario,1,22
1,2015,Ene,Tolima,Salario Mínimo,115,23
1,2015,Ene,Tolima,Salario Mínimo 0 $1.000.000,210,23
1,2015,Ene,Tolima,$1.000.001 0 $1.500.000,123,23
1,2015,Ene,Tolima,$1.500.001 0 $2.000.000,38,23
1,2015,Ene,Tolima,$2.000.001 0 $3.000.000,50,23
1,2015,Ene,Tolima,$3.000.001 0 $4.000.000,14,23
1,2015,Ene,Tolima,$4.000.001 0 $6.000.000,21,23
1,2015,Ene,Tolima,$6.000.001 0 $8.000.000,4,23
1,2015,Ene,Tolima,$8.000.001 0 $10.000.000,1,23
1,2015,Ene,Tolima,$10.000.0010$12.000.000,0,23
1,2015,Ene,Tolima,$12.000.0010$15.000.000,0,23
1,2015,Ene,Tolima,>$15.000.001,0,23
1,2015,Ene,Tolima,A convenir,16,23
1,2015,Ene,Tolima,No especifica Salario,2,23
1,2015,Ene,Valle del Cauca,Salario Mínimo,110,24
